chapt,sec,keywords,ger,span,type / model,subtype,stat1,stat1,val1,val2,val3,val4,val5,val6
1,6,,kurz: plaza,Pza.,rule,Short,,,,,,,,
1,6,,kurz: avenida,Avda,rule,Short,,,,,,,,
1,6,,kurz: paseo,P.º,rule,Short,,,,,,,,
1,6,,der Platz,la plaza,nom,,,,,,,,,
1,6,,die Allee,la avenida,nom,,,,,,,,,
1,6,,die Promenade,el paseo,nom,,,,,,,,,
1,6,,das Kind,el hijo,nom,,,,,,,,,
1,6,,oftmals,muchas veces,adv,,,,,,,,,
1,6,,öfter / manchmals,a veces,adv,,,,,,,,,
1,6,,einmal,una vez,wend,,,,,,,,,
1,6,,gleich / selber /selbe / selbes,mismo,adj,,,,,,,,,
1,6,,gleich / vergleichbar / genau so,igual,adj,,,,,,,,,
1,6,,verheiratet,casado,adj,,,,,,,,,
,,,,,,,,,,,,,,
1,7,,der Installateur,el fontanero,nom,,,,,,,,,
1,7,,der Maurer,el albañil,nom,,,,,,,,,
1,7,,das Kaufhaus,el almacén,nom,,,,,,,,,
1,7,,sich [mit etw] befassen,dedicarse [a algo],verb,sacar,indicativo,presente,me dedico,te dedicas,se dedica,nos dedicamos,os dedicáis,se dedican
1,7,,der Anwalt,el abogado,nom,,,,,,,,,
1,7,,die Firma,la empresa,nom,,,,,,,,,
1,7,,der Arzt,el médico,nom,,,,,,,,,
1,7,,verantwortlich,responsable,adj,,,,,,,,,
1,7,,der Verantwortliche,el responsable,nom,,,,,,,,,
1,7,,[etw] machen,hacer [algo],verb,hacer,indicativo,presente,hago,haces,hace,hacemos,hacéis,hacen
1,7,,die Umarmung,el abrazo,nom,,,,,,,,,
1,7,,von [Ort] aus / seit [Zeit],desde,prep,,,,,,,,,
1,7,,die Schule,la escuela,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,8,,der Berg / das Gebirge,la montaña,nom,,,,,,,,,
1,8,,der Fluss,el río,nom,,,,,,,,,
1,8,,der Rentner,el jubilado,nom,,,,,,,,,
1,8,,gemeinsam / miteinander,juntos,adv,,,,,,,,,
1,8,,der Student,el estudiante,nom,,,,,,,,,
1,8,,in der Nähe [von etw],cerca [de],prep,,,,,,,,,
1,8,,[etw] hören,escuchar [algo],verb,amar,indicativo,presente,escucho,escuchas,escucha,escuchamos,escucháis,escuchan
1,8,,[jmdm] zuhören,escuchar [a alguien],verb,amar,indicativo,presente,escucho,escuchas,escucha,escuchamos,escucháis,escuchan
1,8,,[etw] lernen,aprender [algo],verb,deber,indicativo,presente,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden
1,8,,der Journalist[in],el/la periodista,nom,,,,,,,,,
1,8,,der Koch,la cocinero,nom,,,,,,,,,
1,8,,der Friseur,el peluquero,nom,,,,,,,,,
1,8,,der/die Taxifahrerin,el/la taxista,nom,,,,,,,,,
1,8,,der Verkehr,el tráfico,nom,,,,,,,,,
1,8,,der Zusteller / Lieferjunge,el repartidor,nom,,,,,,,,,
1,8,,der Briefträger,el cartero,nom,,,,,,,,,
1,8,,der Verkehrspolizist,el guardia de tráfico,nom,,,,,,,,,
1,8,,Was arbeitet er?,¿En qué trabaja?,wend,,,,,,,,,
1,8,,Lehramt,Magisterio,nom,,,,,,,,,
1,8,,exakte Wissenschaften,Ciencias exactas,nom,,,,,,,,,
1,8,,Betriebswirtschaft,Empresariales,nom,,,,,,,,,
1,8,,Grafikdesign,Diseño gráfico,nom,,,,,,,,,
1,8,,Journalistik,Periodismo,nom,,,,,,,,,
1,8,,Recht,Derecho,nom,,,,,,,,,
1,8,,Bibliothekskunde,Biblioteconomía,nom,,,,,,,,,
1,8,,Krankenpfleger,Enfermería,nom,,,,,,,,,
1,8,,Medizin,Medicina,nom,,,,,,,,,
1,8,,der Lehrer,el maestro,nom,,,,,,,,,
1,8,,der Krankenpfleger,el enfermero,nom,,,,,,,,,
1,8,,der Physiotherapeut,el fisioterapeuta,nom,,,,,,,,,
1,8,,der Bibliothekar,el bibliotecario,nom,,,,,,,,,
1,8,,Nomen MZ: -[vokal],-s,rule,Noun,,,,,,,,
1,8,,Nomen MZ: -[consonant],-es,rule,Noun,,,,,,,,
1,8,,der Maler,el pintor,nom,,,,,,,,,
1,8,,der Streik,el paro,nom,,,,,,,,,
1,8,,das Ziel,la meta,nom,,,,,,,,,
1,8,,der Lohn / die Bezahlung,la paga,nom,,,,,,,,,
1,8,,der Lohn / das Salär,el salario,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,9,,,el escritor,nom,,,,,,,,,
1,9,,der Schauspieler / die ..in,el actor / la actriz,nom,,,,,,,,,
1,9,,der Regisseur,el director,nom,,,,,,,,,
1,9,,der Dicher / die Dichterin,el poeta / la poetisa,nom,,,,,,,,,
1,9,,der Diplomat,el diplomático,nom,,,,,,,,,
1,9,,der See,el lago,nom,,,,,,,,,
1,9,,der Süden,el Sur,nom,,,,,,,,,
1,9,,der Norden,el Norte,nom,,,,,,,,,
1,9,,der Osten,el Este,nom,,,,,,,,,
1,9,,der Westen,el Oeste,nom,,,,,,,,,
1,9,,der Strand,la playa,nom,,,,,,,,,
1,9,,das Meer,el mar,nom,,,,,,,,,
1,9,,die Küste,la costa,nom,,,,,,,,,
1,9,,der Urwald,la selva,nom,,,,,,,,,
1,9,,[jmdn / etw] kennen lernen,conocer [algo / a alguien],verb,parecer,indicativo,presente,cono*zco,conoces,conoce,conocemos,conocéis,conocen
1,9,,[jmdn zu etw] einladen,invitar [a alguien a algo],verb,amar,indicativo,presente,invito,invitas,invita,invitamos,invitáis,invitan
1,9,,die Grenze,la frontera,nom,,,,,,,,,
1,9,,lang,largo,adj,,,,,,,,,
1,9,,der Gipfel,la cumbre,nom,,,,,,,,,
1,9,,verschneit,nevado,adj,,,,,,,,,
1,9,,die Wüste,el desierto,nom,,,,,,,,,
1,9,,die Halbinsel,la península,nom,,,,,,,,,
1,9,,der Sand,la arena,nom,,,,,,,,,
1,9,,weiss,blanco,adj,,,,,,,,,
1,9,,die Bergspitze,el pico,nom,,,,,,,,,
1,9,,die Gebirgskette,la cordillera,nom,,,,,,,,,
1,9,,die Höhe (üM),la altura,nom,,,,,,,,,
1,9,,dazugehörend,perteneciente,adj,,,,,,,,,
1,9,,die Insel,la isla,nom,,,,,,,,,
1,9,,[etw] bekommen,recibir [algo],verb,vivir,indicativo,presente,recibo,recibes,recibe,recibimos,recibís,reciben
1,9,,der Roman,la novela,nom,,,,,,,,,
1,9,,verschieden,distinto,adj,,,,,,,,,
1,9,,der Kellner,el camarero,nom,,,,,,,,,
1,9,,die Zeitung,el periódico,nom,,,,,,,,,
1,9,,das krankenhaus,el hospital,nom,,,,,,,,,
,,,,,,,,,,,,,,
1,9,,der Physiotherapeut,el fisioterapeuta,nom,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,1,,die Fussballmannschaft,el equipo de fútbol,nom,,,,,,,,,
2,1,,der Grossvater,el abuelo,nom,,,,,,,,,
2,1,,die Grossmutter,la abuela,nom,,,,,,,,,
2,1,,der Vater,el padre,nom,,,,,,,,,
2,1,,die Mutter,la madre,nom,,,,,,,,,
2,1,,der Bruder,el hermano,nom,,,,,,,,,
2,1,,die Geschwister,los hermanos,nom,,,,,,,,,
2,1,,die Schwester,la hermana,nom,,,,,,,,,
2,1,,das Haar,el pelo,nom,,,,,,,,,
2,1,,schwarz,negro,adj,,,,,,,,,
2,1,,blond,rubio,adj,,,,,,,,,
2,1,,die Brille,las gafas,nom,,,,,,,,,
2,1,,ledig,soltero,adj,,,,,,,,,
2,1,,dieser diese dieses (demon),"este, esta, esto",pron,demonstrativo,,,,,,,,
2,1,,Wie sieht er/sie/etw aus?,¿Cómo es XXX?,wend,,,,,,,,,
2,1,,[jmdn | etw] tragen,llevar [algo | a alguien],verb,amar,indicativo,presente,llevo,llevas,lleva,llevamos,lleváis,llevan
